== scanner gerado com Flex -- valido_sub.cm ==
LIN   COL   TOKEN      LEXEMA
--------------------------------------------
2     1     ID         x
2     3     ASSIGN     =
2     5     ID         a
2     7     PLUS       +
2     9     ID         b
2     11    TIMES      *
2     13    NUM        2
3     1     ID         resultado
3     11    ASSIGN     =
3     13    LPAREN     (
3     14    ID         alfa
3     19    MINUS      -
3     21    ID         beta
3     25    RPAREN     )
3     27    OVER       /
3     29    NUM        4
4     1     ID         v
4     2     LBRACKET   [
4     3     ID         i
4     4     RBRACKET   ]
4     6     ASSIGN     =
4     8     ID         v
4     9     LBRACKET   [
4     10    ID         i
4     11    RBRACKET   ]
4     13    PLUS       +
4     15    NUM        1
5     1     ID         media
5     7     ASSIGN     =
5     9     ID         soma
5     14    OVER       /
5     16    ID         contador
6     1     ID         p
6     3     ASSIGN     =
6     5     ID         x
6     7     LE         <=
6     10    ID         y
7     1     ID         q
7     3     ASSIGN     =
7     5     ID         x
7     7     GE         >=
7     10    ID         y
8     1     ID         r
8     3     ASSIGN     =
8     5     ID         x
8     7     EQ         ==
8     10    ID         y
9     1     ID         s
9     3     ASSIGN     =
9     5     ID         x
9     7     NE         !=
9     10    ID         y
10    1     ID         t
10    3     ASSIGN     =
10    5     ID         x
10    7     LT         <
10    9     ID         y
11    1     ID         u
11    3     ASSIGN     =
11    5     ID         x
11    7     GT         >
11    9     ID         y
12    1     ID         z
12    3     ASSIGN     =
12    5     LPAREN     (
12    6     LPAREN     (
12    7     ID         a
12    9     PLUS       +
12    11    ID         b
12    12    RPAREN     )
12    14    TIMES      *
12    16    LPAREN     (
12    17    ID         c
12    19    MINUS      -
12    21    ID         d
12    22    RPAREN     )
12    23    RPAREN     )
12    25    OVER       /
12    27    NUM        2
--------------------------------------------
erros lexicos: 0
