== scanner gerado com Flex -- valido.cm ==
LIN   COL   TOKEN      LEXEMA
--------------------------------------------
2     1     INT        int
2     5     ID         gcd
2     8     LPAREN     (
2     9     INT        int
2     13    ID         u
2     14    COMMA      ,
2     16    INT        int
2     20    ID         v
2     21    RPAREN     )
3     1     LBRACE     {
4     5     IF         if
4     8     LPAREN     (
4     9     ID         v
4     11    EQ         ==
4     14    NUM        0
4     15    RPAREN     )
4     17    RETURN     return
4     24    ID         u
4     25    SEMI       ;
5     5     ELSE       else
5     10    RETURN     return
5     17    ID         gcd
5     20    LPAREN     (
5     21    ID         v
5     22    COMMA      ,
5     24    ID         u
5     26    MINUS      -
5     28    ID         u
5     29    OVER       /
5     30    ID         v
5     31    TIMES      *
5     32    ID         v
5     33    RPAREN     )
5     34    SEMI       ;
6     1     RBRACE     }
8     1     VOID       void
8     6     ID         main
8     10    LPAREN     (
8     11    VOID       void
8     15    RPAREN     )
9     1     LBRACE     {
10    5     INT        int
10    9     ID         x
10    10    LBRACKET   [
10    11    NUM        10
10    13    RBRACKET   ]
10    14    SEMI       ;
11    5     INT        int
11    9     ID         i
11    10    SEMI       ;
12    5     ID         i
12    7     ASSIGN     =
12    9     NUM        0
12    10    SEMI       ;
13    5     WHILE      while
13    11    LPAREN     (
13    12    ID         i
13    14    LT         <
13    16    NUM        10
13    18    RPAREN     )
13    20    LBRACE     {
14    9     ID         x
14    10    LBRACKET   [
14    11    ID         i
14    12    RBRACKET   ]
14    14    ASSIGN     =
14    16    ID         i
14    18    TIMES      *
14    20    NUM        2
14    21    SEMI       ;
15    9     ID         i
15    11    ASSIGN     =
15    13    ID         i
15    15    PLUS       +
15    17    NUM        1
15    18    SEMI       ;
16    5     RBRACE     }
17    5     IF         if
17    8     LPAREN     (
17    9     ID         x
17    10    LBRACKET   [
17    11    NUM        3
17    12    RBRACKET   ]
17    14    GE         >=
17    17    NUM        6
17    18    RPAREN     )
17    20    ID         x
17    21    LBRACKET   [
17    22    NUM        3
17    23    RBRACKET   ]
17    25    ASSIGN     =
17    27    ID         x
17    28    LBRACKET   [
17    29    NUM        3
17    30    RBRACKET   ]
17    32    MINUS      -
17    34    NUM        1
17    35    SEMI       ;
18    5     IF         if
18    8     LPAREN     (
18    9     ID         i
18    11    NE         !=
18    14    NUM        10
18    16    RPAREN     )
18    18    ID         i
18    20    ASSIGN     =
18    22    NUM        0
18    23    SEMI       ;
19    5     IF         if
19    8     LPAREN     (
19    9     ID         i
19    11    LE         <=
19    14    NUM        9
19    15    RPAREN     )
19    17    ID         i
19    19    ASSIGN     =
19    21    ID         i
19    23    PLUS       +
19    25    NUM        1
19    26    SEMI       ;
20    1     RBRACE     }
--------------------------------------------
erros lexicos: 0
